bsn,name,schulform_nummer,schulform_name,bezirk_nummer,bezirk_name,plz,adresse,lon,lat,n_schueler,n_bestanden,pct_bestanden,pct_fail,abischnitt
06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule),3,ISS/Gemeinschaftsschulen,6,Steglitz-Zehlendorf,14169,Am Hegewinkel 2A,13.2608001,52.4550788,99,97,97.98,2.019999999999996,2.52164948453608
06K03,Kopernikus-Schule (Integrierte Sekundarschule),3,ISS/Gemeinschaftsschulen,6,Steglitz-Zehlendorf,12163,Lepsiusstr. 24-28,13.3201117,52.4639001,67,54,80.6,19.400000000000006,2.82592592592593
06K04,Bröndby-Schule (Integrierte Sekundarschule),3,ISS/Gemeinschaftsschulen,6,Steglitz-Zehlendorf,12249,Dessauerstr. 63,13.3458467,52.4281803,65,51,78.46,21.540000000000006,2.86666666666667
06K11,Anna-Essinger-Gemeinschaftsschule,3,ISS/Gemeinschaftsschulen,6,Steglitz-Zehlendorf,12203,Tietzenweg 101,13.3099025,52.4389094,48,48,100,0,2.19583333333333
06P06-K,Königin-Luise-Stiftung,4,Schulen in privater Trägerschaft,6,Steglitz-Zehlendorf,14195,Podbielskiallee 78,13.3024416,52.4602572,21,21,100,0,2.45238095238095
06P06-Y,Königin-Luise-Stiftung,4,Schulen in privater Trägerschaft,6,Steglitz-Zehlendorf,14195,Podbielskiallee 78,13.3024416,52.4602572,54,54,100,0,2.09814814814815
06P12,Evangelische Schule Steglitz (Integrierte Sekundarschule),4,Schulen in privater Trägerschaft,6,Steglitz-Zehlendorf,12167,Beymestr. 6-7,13.3313952,52.450697,34,33,97.06,2.9399999999999977,2.61818181818182
06P18,Bilinguale Schule Phorms Berlin Süd,4,Schulen in privater Trägerschaft,6,Steglitz-Zehlendorf,14167,Harry-S.-Truman-Allee 3,13.2838934,52.4203746,33,32,96.97,3.030000000000001,1.825
06P20,Freie Schule Anne-Sophie Berlin,4,Schulen in privater Trägerschaft,6,Steglitz-Zehlendorf,14169,Clayallee 328-334,13.2628931,52.43770240000001,33,32,96.97,3.030000000000001,1.99375
06Y01,Schadow-Gymnasium,2,Gymnasien,6,Steglitz-Zehlendorf,14163,Beuckestr. 27-29,13.2547402,52.4314711,125,125,100,0,2.0248
06Y02,Droste-Hülshoff-Gymnasium,2,Gymnasien,6,Steglitz-Zehlendorf,14165,Schönower Str. 8,13.2570295,52.4288306,120,119,99.17,0.8299999999999983,2.21008403361345
06Y03,Arndt-Gymnasium Dahlem,2,Gymnasien,6,Steglitz-Zehlendorf,14195,Königin-Luise-Str. 80-84,13.280251,52.45869150000001,119,119,100,0,1.79327731092437
06Y04,Dreilinden-Gymnasium,2,Gymnasien,6,Steglitz-Zehlendorf,14109,Dreilindenstr. 49,13.1878821,52.4202972,90,88,97.78,2.219999999999999,2.2875
06Y05,Werner-von-Siemens-Gymnasium,2,Gymnasien,6,Steglitz-Zehlendorf,14129,Beskidenstr. 3,13.2124435,52.43114,117,117,100,0,1.8965811965812
06Y06,Beethoven-Gymnasium,2,Gymnasien,6,Steglitz-Zehlendorf,12249,Barbarastr. 9,13.3432058,52.4334121,117,117,100,0,1.91794871794872
06Y07,Paulsen-Gymnasium,2,Gymnasien,6,Steglitz-Zehlendorf,12163,Gritznerstr. 57,13.3144697,52.4617739,79,78,98.73,1.269999999999996,2.33974358974359
06Y08,Hermann-Ehlers-Gymnasium,2,Gymnasien,6,Steglitz-Zehlendorf,12169,Elisenstr. 3-4,13.3346948,52.453105,67,67,100,0,2.66417910447761
06Y09,Fichtenberg-Oberschule,2,Gymnasien,6,Steglitz-Zehlendorf,12165,Rothenburgstr. 18,13.3128051,52.4538929,112,103,91.96,8.040000000000006,2.26699029126214
06Y10,Lilienthal-Gymnasium,2,Gymnasien,6,Steglitz-Zehlendorf,12203,Ringstr. 2-3,13.3120652,52.4359464,118,115,97.46,2.5400000000000063,2.35652173913043
06Y11,Goethe-Gymnasium Lichterfelde,2,Gymnasien,6,Steglitz-Zehlendorf,12205,Drakestr. 72-74,13.3053324,52.43491239999999,122,121,99.18,0.8199999999999932,2.18512396694215
06Y12,Willi-Graf-Gymnasium,2,Gymnasien,6,Steglitz-Zehlendorf,12207,Ostpreußendamm 166,13.3213605,52.4346396,74,74,100,0,2.27027027027027
06Y13,Gymnasium Steglitz,2,Gymnasien,6,Steglitz-Zehlendorf,12169,Heesestr. 15,13.3265353,52.4569382,86,85,98.84,1.1599999999999966,1.89529411764706
07A05,Kolleg Schöneberg,5,"Kollegs, Abendgymnasien",7,Tempelhof-Schöneberg,10787,Nürnberger Str. 63,13.3413699,52.50332539999999,41,40,97.56,2.4399999999999977,2.105
07B03,OSZ Lotis (Logistik  Touristik und Steuern),1,berufliche Schulen,7,Tempelhof-Schöneberg,10965,Dudenstr. 35-37,13.3801123,52.4846922,31,26,83.87,16.129999999999995,2.48076923076923
07K01,Sophie-Scholl-Schule,3,ISS/Gemeinschaftsschulen,7,Tempelhof-Schöneberg,10781,Elßholzstr. 34-37,13.3569736,52.4940504,111,110,99.1,0.9000000000000057,2.16545454545455
07K02,Carl-Zeiss-Schule,3,ISS/Gemeinschaftsschulen,7,Tempelhof-Schöneberg,12305,Barnetstr. 12-14,13.40258,52.39571,87,78,89.66,10.340000000000003,2.62564102564103
07K03,Gustav-Heinemann-Oberschule,3,ISS/Gemeinschaftsschulen,7,Tempelhof-Schöneberg,12279,Waldsassener Str. 62,13.3469964,52.407072600000014,91,87,95.6,4.400000000000006,2.30459770114943
07K12,Friedenauer Gemeinschaftsschule,3,ISS/Gemeinschaftsschulen,7,Tempelhof-Schöneberg,12157,Rubensstr. 63,13.3440711,52.4698004,30,26,86.67,13.329999999999998,2.61923076923077
07P01,Katholische Schule Sankt Franziskus (Integrierte Sekundarschule),4,Schulen in privater Trägerschaft,7,Tempelhof-Schöneberg,10781,Hohenstaufenstr. 1-2,13.3534997,52.4951507,57,53,92.98,7.019999999999996,2.55283018867925
07Y01,Robert-Blum-Gymnasium,2,Gymnasien,7,Tempelhof-Schöneberg,10829,Kolonnenstr. 21,13.3647649,52.4848465,96,92,95.83,4.170000000000002,2.19130434782609
07Y02,Rückert-Gymnasium,2,Gymnasien,7,Tempelhof-Schöneberg,10825,Mettestr. 8,13.3388204,52.48032079999999,69,66,95.65,4.349999999999994,2.41666666666667
07Y03,Rheingau-Gymnasium,2,Gymnasien,7,Tempelhof-Schöneberg,12161,Schwalbacher Str. 3-4,13.3225874,52.4706822,82,81,98.78,1.2199999999999989,2.16543209876543
07Y04,Paul-Natorp-Gymnasium,2,Gymnasien,7,Tempelhof-Schöneberg,12161,Goßlerstr. 13-15,13.3243299,52.4693854,106,105,99.06,0.9399999999999977,1.88952380952381
07Y05,Luise-Henriette-Gymnasium,2,Gymnasien,7,Tempelhof-Schöneberg,12105,Kurfürstenstr. 53-54,13.3837948,52.4479795,56,51,91.07,8.930000000000007,2.46666666666667
07Y06,Askanisches Gymnasium,2,Gymnasien,7,Tempelhof-Schöneberg,12103,Kaiserin-Augusta-Str. 19/20,13.3799519,52.4598994,82,78,95.12,4.8799999999999955,2.55769230769231
